measure,quintile,ew_ret,vw_ret,n_stocks
STR,1,-0.004568770383855989,0.00889285240513032,10.0
STR,2,-0.015340142328193127,-0.034892480056188335,10.0
STR,3,-0.002687817835891887,-0.01586788243977758,10.0
STR,4,-0.020267036982852666,-0.019202746191729552,10.0
STR,5,-0.039596709446822316,-0.05172287512629578,10.0
STV,1,-0.03785513977521631,-0.01487617579830433,10.0
STV,2,-0.056652488788180154,-0.037192912320214135,10.0
STV,3,-0.004581427344703266,-0.02318663764455645,10.0
STV,4,0.024740829495972838,0.018364691731123834,10.0
STV,5,-0.008112250565489094,-0.013922675009870447,10.0
STR,H-L,-0.03502793906296633,-0.0606157275314261,
STV,H-L,0.029742889209727216,0.0009535007884338836,
