month,measure,quintile,ew_ret,vw_ret,n_stocks
2025-06,STR,1,0.33958703859632833,0.48685857271543076,10
2025-06,STR,2,0.1111596680173356,0.10269811230070035,10
2025-06,STR,3,0.10682684750968643,0.16039035705363225,10
2025-06,STR,4,0.13479516494983704,0.1579485051112947,10
2025-06,STR,5,0.175222257837736,0.17538838138861187,10
2025-06,STV,1,0.17621812398131081,0.2385052573318924,10
2025-06,STV,2,0.021259048901016743,0.022942705823546336,10
2025-06,STV,3,0.17194013426591476,0.1009349012453828,10
2025-06,STV,4,0.306370789810701,0.3894835582873884,10
2025-06,STV,5,0.19180287995198003,0.313152515315994,10
2025-07,STR,1,0.041486442431528256,0.06726703675145257,10
2025-07,STR,2,-0.01692891471953657,-0.05395361430747599,10
2025-07,STR,3,0.3461665048005206,0.18939865188236413,10
2025-07,STR,4,0.08527489520248628,0.10005305942783994,10
2025-07,STR,5,0.0732796364898176,0.05701423544000563,10
2025-07,STV,1,0.01768512489898757,0.10041461082919806,10
2025-07,STV,2,-0.008578872247168167,0.06006512166336924,10
2025-07,STV,3,0.05055921272210161,0.030692177201145174,10
2025-07,STV,4,0.4352363350384831,0.34707968873028106,10
2025-07,STV,5,0.034376763792412,-0.05472560248403598,10
2025-08,STR,1,-0.019885673433816652,0.05173423542972244,10
2025-08,STR,2,0.015502739395184883,0.0028921264288344684,10
2025-08,STR,3,0.005345744371871375,0.12565648534297338,10
2025-08,STR,4,0.001734927514931961,0.047164206875645036,10
2025-08,STR,5,-0.017513846230353635,-0.040693281986351026,10
2025-08,STV,1,0.038852366349038325,0.01496793907954246,10
2025-08,STV,2,-0.05740880737871486,-0.0312603034980989,10
2025-08,STV,3,0.062403510076991985,0.04015863510138851,10
2025-08,STV,4,-0.018657198560169275,-0.011103512553108095,10
2025-08,STV,5,-0.04000597886932825,0.054558068026067746,10
2025-09,STR,1,-0.21383732997993818,-0.19751247124765584,10
2025-09,STR,2,-0.11688237606669176,-0.055326391095526416,10
2025-09,STR,3,-0.13461280510998425,-0.08255325469774868,10
2025-09,STR,4,-0.0677815813096294,-0.06019710739221044,10
2025-09,STR,5,-0.20989922316212425,-0.2079327244145729,10
2025-09,STV,1,-0.18928270376359121,-0.060926608977693725,10
2025-09,STV,2,-0.17028148662427997,-0.15641425115912222,10
2025-09,STV,3,-0.18744747250518995,-0.19339677568786678,10
2025-09,STV,4,-0.14463456358442497,-0.24714113635783982,10
2025-09,STV,5,-0.05136708915088173,-0.056039261897947425,10
2025-10,STR,1,-0.2326886121576214,-0.26324509466594603,10
2025-10,STR,2,-0.17786164040463037,-0.139991583667815,10
2025-10,STR,3,-0.00984445169604049,-0.16658149125492866,10
2025-10,STR,4,-0.0370790425369653,-0.0007610338749094828,10
2025-10,STR,5,-0.1942964207232774,-0.22271644417709266,10
2025-10,STV,1,-0.14682143377431167,-0.12452308766681275,10
2025-10,STV,2,-0.19548697228418138,-0.16645058765643947,10
2025-10,STV,3,-0.1423314485964349,-0.13236175266973588,10
2025-10,STV,4,-0.0769112586647111,-0.06222154482847411,10
2025-10,STV,5,-0.0902190541988959,-0.177949089085231,10
2025-11,STR,1,-0.0707448050680392,-0.03784877115063908,10
2025-11,STR,2,-0.010250727166611396,-0.019113125026447342,10
2025-11,STR,3,-0.04735227777416205,-0.0663340961579579,10
2025-11,STR,4,-0.12176003735840166,-0.12208215089923781,10
2025-11,STR,5,-0.014726821437340243,0.023865318678267595,10
2025-11,STV,1,-0.08116239131708466,-0.03945103294429081,10
2025-11,STV,2,-0.07491931775189252,-0.04311488105088551,10
2025-11,STV,3,-0.012565406846122618,-0.03195094541878913,10
2025-11,STV,4,-0.05169157149126998,-0.03917242303147884,10
2025-11,STV,5,-0.044495981398184795,-0.021209476593533203,10
2025-12,STR,1,-0.029063185200265917,-0.0466777171590608,10
2025-12,STR,2,-0.011026708202996383,-0.03669651724652468,10
2025-12,STR,3,-0.02388859293762787,-0.005945680907112397,10
2025-12,STR,4,-0.030392026513774085,-0.07524017034821215,10
2025-12,STR,5,-0.12102384385774265,-0.12435939297257553,10
2025-12,STV,1,-0.10746801268300858,-0.0504359437802215,10
2025-12,STV,2,-0.003976235248327842,-0.020497970257963457,10
2025-12,STV,3,-0.019171273723285687,-0.016104362924524673,10
2025-12,STV,4,-0.042515405382494764,-0.027204536251443787,10
2025-12,STV,5,-0.042263429675290044,-0.03797933964112043,10
2026-01,STR,1,-0.017126019431837912,-0.038514939087156856,10
2026-01,STR,2,-0.05270595237193972,-0.1499611896737257,10
2026-01,STR,3,-0.09770579433069623,-0.15713593143179386,10
2026-01,STR,4,-0.0949075289785393,-0.14102895861223746,10
2026-01,STR,5,-0.14012577975625773,-0.147961992151985,10
2026-01,STV,1,-0.061702616516449184,-0.13567642033757307,10
2026-01,STV,2,-0.15246093743411254,-0.10481077415400232,10
2026-01,STV,3,-0.05060718993445272,-0.02615446664660977,10
2026-01,STV,4,-0.09227786055343438,-0.07986892245660834,10
2026-01,STV,5,-0.04552247043082205,-0.16254263593030788,10
2026-02,STR,1,0.05235296949067179,0.0008650609313309378,10
2026-02,STR,2,-0.0033672636672934407,0.005247916104478143,10
2026-02,STR,3,-0.044445855227876044,-0.01863043336272759,10
2026-02,STR,4,-0.001326366740936713,-0.009183855808152435,10
2026-02,STR,5,-0.011327343344290397,-0.048267783316273176,10
