delta,month,measure,quintile,ew_ret,vw_ret,n_obs
0.5,2025-06,STR,1,0.2722851066392278,0.48663372182603554,25
0.5,2025-06,STR,2,0.13256935610310447,0.2788763536864068,24
0.5,2025-06,STR,3,0.01699593691429418,0.0893487345604292,24
0.5,2025-06,STR,4,0.23844262682383888,0.17319042843692029,24
0.5,2025-06,STR,5,0.23578828390782397,0.216039814782618,25
0.5,2025-06,STV,1,0.1460494175382042,0.2309511654006222,25
0.5,2025-06,STV,2,0.179204142120485,0.1434235469898948,24
0.5,2025-06,STV,3,0.13814232447222957,0.1720191664893858,24
0.5,2025-06,STV,4,0.156362551982171,0.1006783100129909,24
0.5,2025-06,STV,5,0.27975091822454545,0.3166409147562204,25
0.5,2025-07,STR,1,0.028287903116243032,0.05258815760223149,25
0.5,2025-07,STR,2,0.01655629667391196,-0.053216233142213167,25
0.5,2025-07,STR,3,0.13493109852531276,0.1960325805304402,24
0.5,2025-07,STR,4,0.01775503332906417,0.09582000104956852,25
0.5,2025-07,STR,5,0.028268425723997067,0.04235704538283706,25
0.5,2025-07,STV,1,-0.0013249709646026852,0.09187194356591999,25
0.5,2025-07,STV,2,0.06799067489474836,0.09410393535674993,25
0.5,2025-07,STV,3,0.13161212449750195,0.2878674838052255,24
0.5,2025-07,STV,4,-0.017192504724238656,-0.05894314017784884,25
0.5,2025-07,STV,5,0.04458067470400756,0.03684423014940843,25
0.5,2025-08,STR,1,44.0351768874392,-0.01246202061518671,26
0.5,2025-08,STR,2,-0.014528329412880944,0.04958549086724682,25
0.5,2025-08,STR,3,0.08085621435863163,0.05153965500549188,25
0.5,2025-08,STR,4,0.012089967695621352,0.08313095527515107,25
0.5,2025-08,STR,5,0.10471504146194455,-0.020515787619670833,25
0.5,2025-08,STV,1,-0.021634187461935444,0.010143757450837754,26
0.5,2025-08,STV,2,0.0756450413216721,0.0596795229298934,25
0.5,2025-08,STV,3,-0.0014516338511719163,-0.027786500817330317,25
0.5,2025-08,STV,4,0.08361951728999252,0.0381614440987212,25
0.5,2025-08,STV,5,45.844403487239994,0.05566039918539368,25
0.5,2025-09,STR,1,-0.15815705342499806,-0.20174791163888817,26
0.5,2025-09,STR,2,-0.10156683277877473,-0.14390885993556923,26
0.5,2025-09,STR,3,-0.09803887581258719,-0.047510643566944386,26
0.5,2025-09,STR,4,-0.13726034361008008,-0.07992390992868884,26
0.5,2025-09,STR,5,0.16509600913211842,-0.1393609898976615,26
0.5,2025-09,STV,1,-0.1783189347790777,-0.07759314624108475,26
0.5,2025-09,STV,2,-0.03660423959358328,-0.17132533320931614,26
0.5,2025-09,STV,3,0.06767904008060259,-0.17339679400953448,26
0.5,2025-09,STV,4,-0.06924554085222487,-0.0722850566038149,26
0.5,2025-09,STV,5,-0.11343742135003841,-0.05707972446786706,26
0.5,2025-10,STR,1,-0.2012518764342015,-0.2210983619400678,27
0.5,2025-10,STR,2,-0.06614462851257093,-0.13448423128042433,26
0.5,2025-10,STR,3,-0.015926451594123585,-0.1502426403108706,27
0.5,2025-10,STR,4,-0.07016455155578989,-0.04284581344420176,26
0.5,2025-10,STR,5,-0.22989768982771194,-0.2233320948843635,27
0.5,2025-10,STV,1,-0.14343512310501236,-0.1267962876348936,27
0.5,2025-10,STV,2,-0.16397304257381032,-0.12212727113032482,26
0.5,2025-10,STV,3,-0.147950334246505,-0.09223727691113746,27
0.5,2025-10,STV,4,-0.06934386370908105,-0.05058598383468316,26
0.5,2025-10,STV,5,-0.06227571303867538,-0.1790503727768008,27
0.5,2025-11,STR,1,-0.06579067125196203,-0.04059908113721076,28
0.5,2025-11,STR,2,0.0003878241612248796,-0.018929369176735964,28
0.5,2025-11,STR,3,-0.030258410880376268,-0.02439454431548338,27
0.5,2025-11,STR,4,-0.11087434635696829,-0.11592211406187237,28
0.5,2025-11,STR,5,-0.034166440266834165,-0.03457102689033018,28
0.5,2025-11,STV,1,-0.09190865043501997,-0.03351193239530767,28
0.5,2025-11,STV,2,-0.08133961752406035,-0.05633831586923467,28
0.5,2025-11,STV,3,-0.04843762910181407,-0.07648845694591981,27
0.5,2025-11,STV,4,-0.050407869569089936,-0.09139282920747366,28
0.5,2025-11,STV,5,0.0307424642414457,-0.02227849536817732,28
